Ticker,Nom,IDX,RN,NofS,DIV,secteur,Delta S1 %,RNPG S1,Delta RNPG S1,Estimation RN 22
AFM,Afma,AFMA P,57900000.0,1000000,54.0,Assurances,15.0,37000000,8.9,74000000.0
AFI,Afric industries sa,Afric Indus.,5300000.0,291500,22.0,BTP,-18.0,4400000,-21.0,8500000.0
GAZ,Afriquia gaz,Afriquia Gaz P,503900000.0,3437500,140.0,Pétrole & Gaz,51.1,344480000,7.9,700000000.0
AGM,Agma,Agma P,52000000.0,200000,250.0,Assurances,12.1,30200000,5.0,61000000.0
AKT,Akdital,Akdital Br,46000000.0,12666670,,Santé,31.7,28401000,117.0,100000000.0
ADI,Alliances,Alliances P,119000000.0,22078588,,Promotion immobilière,12.0,75000000,77.0,160000000.0
ALM,Aluminium du maroc,Aluminium Maroc P,18000000.0,465954,110.0,BTP,58.0,33200000,174.4,
ARD,Aradei capital,Aradei Capital Br,204000000.0,10645783,18.2,Sociétés de placement immobilier,14.8,111000000,12.0,240000000.0
ATL,Atlantasanad,ATLANTASANAD P,454800000.0,60283595,5.2,Assurances,2.0,229000000,4.1,450000000.0
ATW,Attijariwafa bank,Attijariwafa Bk Rg,5144000000.0,215140839,15.0,Banques,4.8,3000000000,16.2,5900000000.0
ATH,Auto hall,Auto Hall P,264100000.0,50294528,3.5,Distributeurs,-13.0,87000000,-56.7,170000000.0
NEJ,Auto nejma,Auto Nejma P,145600000.0,1023264,86.0,Distributeurs,-12.2,75600000,25.0,150000000.0
BAL,Balima,BALIMA P,9900000.0,1744000,,Sociétés de placement immobilier,-0.2,13512000,253.0,14500000.0
BOA,Bank of africa,BoA Br,2007000000.0,205606648,4.0,Banques,6.3,1268000000,6.2,2500000000.0
BCP,Bcp,BCP P,1764000000.0,203312473,8.5,Banques,3.0,1800000000,16.6,2000000000.0
BCI,Bmci,BMCI P,194110000.0,13279286,10.0,Banques,0.4,64000000,-74.0,
CDM,Cdm,CDM P,627400000.0,10881214,25.9,Banques,6.5,325000000,16.9,700000000.0
CIH,Cih,CIH P,603000000.0,28906881,14.0,Banques,8.2,299000000,13.0,620000000.0
CMA,Ciments du maroc,Ciments Maroc,1216000000.0,14436004,95.0,BTP,1.0,473898000,-17.8,750000000.0
COL,Colorado,Colorado P,33200000.0,16117611,2.7,BTP,8.2,15400000,26.5,35000000.0
COS,Cosumar,COSUMAR,763000000.0,94487143,6.0,Agroalimentaire et Production,15.8,401000000,-15.9,800000000.0
CTM,Ctm,CTM P,35000000.0,1225978,22.0,Transport,11.5,7000000,46.0,20000000.0
DAR,Dari couspate,Dari Couspate,42100000.0,298375,,Agroalimentaire et Production,7.5,19880000,-39.6,41000000.0
DHO,Delta holding,Delta Holding P,172000000.0,87600000,1.3,BTP,13.0,70000000,10.0,150000000.0
